id,description
133,"Magnesy do tablic okragle, super silne, nie rysuja powierzchni magnetycznej, rózne wielkosci (20mm, 30 mm, 35 mm), op. 10 sztuk, mix kolorów"
134,"Marker olejowy, wysokiej jakosci, przeznaczony do pisania po wszystkich materialach, z pigmentowym tuszem, szybkoschnacy, nieblaknacy lakier, aluminiowa obudowa, z okragla koncówka, wentylowana skuwka, grubosc linii 2,5 mm, w róznych kolorach: czarny, czerwony, zielony, niebieski"
135,"Marker permanentny niezmywalny; wodoodporny; z tuszem na bazie alkoholu; koncówka okragla; szybkoschnacy tusz; nie rozmazuje sie; aluminiowa obudowa; grubosc linii 1 mm , (czarny, czerwony, zielony, niebieski),"
136,"Marker suchoscieralny latwy do starcia, odporny na wysychanie, intensywny kolor, nietoksyczny, wytrzymala koncówka piszaca wykonana z fibry, intensywny kolor, plastikowa obudowa, tusz na bazie alkoholu, neutralny zapach, grubosc linii 2 mm (czarny, czerwony, niebieski, zielony),"
137,"Naboje do pióra Parker, niebieskie, dlugie, op. 5 szt."
138,"Naboje do pióra Watermann, niebieskie, krótkie, op. 5 szt."
139,"Naboje do pióra Watermann, niebieskie, dlugie, op. 5 szt."
140,"Naboje do pióra Pelikan, niebieskie, dlugie, op. 6 szt."
141,"Naboje do pióra Pelikan, niebieskie, krótkie, op. 6 szt."
142,"Niszczarka do dokumentów ekonomiczna o wymiarach: 400 x 330 x 195 mm, pojemnosc kosza min 18l, DIN 32757: 3, posiada zdolnosc ciecia zszywek, kart kredytowych , waga 5 kg"
143,"Nozyczki biurowe wykonane z hartowanej stali nierdzewnej, z wytrzymala, odporna na pekniecia i odpryski, ergonomiczna rekojescia (rozmiar:15 cm)"
144,"Nozyczki biurowe wykonane z hartowanej stali nierdzewnej, z wytrzymala, odporna na pekniecia i odpryski, ergonomiczna rekojescia (rozmiar: 21 cm)"
145,"Nóz biurowy do kartonu z wysuwanym ostrzem, lamane wymienne ostrze wykonane ze stali nierdzewnej, przycisk blokujacy pozycje ostrza, ergonomiczna obudowa, elementy gumowe zapobiegajace slizganiu sie noza, rozmiar 15 cm"
146,"Obwoluta groszkowa otwierana z góry i z prawej strony, przezroczysta struktura folii, wciecie boczne, na palec, prawy górny róg zaokraglony, grubosc folii 90 mic, konfekcja wlasna op. 10 szt., format A4"
147,"Obwoluta groszkowa otwierana z góry i z prawej strony, kolorowa struktura folii, wciecie boczne, na palec, prawy górny róg zaokraglony, format A4, op. 10 szt., mix kolorów,"
148,"Obwoluta sztywna L 150 mic otwierana z góry i z prawej strony, wykonana z twardej folii PCV, o wysokiej czestotliwosci, wciecie boczne, na palec, prawy górny róg zaokraglony, format A4,"
149,"Oczkownica podreczna do dokumentów, jednoglowicowa, nitujaca do 15 arkuszy, srednica otworu 4 mm, regulowany margines dziurkowania"
150,"Ofertówka sztywna do segregatora otwierana z góry, wykonana z twardej folii PCV, o wysokiej przezroczystosci, standardowa perforacja, konfekcja wlasna op. 10 szt., format A4"
151,"Okladka na legitymacje, przezroczysta, o wymiarach 8 cm x 11 cm, op. 20 sztuk"
152,"Okladki do bindowania foliowe A4 , przezroczysta folia do oprawy dokumentów, format A4,150 mic,op.100 szt,"
153,"Okladki do bindowania foliowe A4 , kolorowa folia do oprawy dokumentów, format A4, grubosc folii 200mic, op. 100 szt. wyprodukowano dla firmy Argo"
154,"Okladki do bindowania kartonowe A4, kartonowe, z jednostronnie kolorowego, blyszczacego kartonu, sztywny karton laminowany folia, grubosc 250 g/m², format A4, op. 100 arkusz,"
155,"Okladki do bindowania skóropodobne A4, kartonowe, o fakturze skóropodobnej, sztywny karton , format A4, op. 100 arkuszy,"
156,"Olej do niszczarek, pojemnosc opakowania 350ml"
157,"Olówek automatyczny, na grafit 0,5 mm, z teleskopowym mechanizmem wysuwania grafitu"
158,"Olówek drewniany, odporny na zlamania, latwy do wycierania i temperowania, rózne twardosci, z gumka"
159,"Pamiec USB 16 GB, zlacze USB jest wysuwane, obudowa: plastikowo-aluminiowa, ma posiadac opakowanie. Okres gwarancji minimum 24 miesiace"
160,"Pamiec USB 8 GB, zlacze USB jest wysuwane, obudowa plastikowo-aluminiowa, ma posiadac opakowanie. Okres gwarancji minimum 24 miesiace."
161,"Papier do faksu w rolce, o wymiarach 210mm x 30mb"
162,"Papier fotograficzny do drukarki laserowej, matowy, bialy, format A4, gramatura 200g/m2, op. 100 szt."
163,"Papier fotograficzny do drukarki atramentowej, satynowo-matowy, bialy, format A4, gramatura 240g/m2, op. 50 szt."
164,"Papier fotograficzny do drukarki atramentowej, blyszczacy, bialy, format A4, gramatura 180g/m2, op. 50 szt."
165,"Papier fotograficzny do drukarki atramentowej, blyszczacy, bialy, format A4, gramatura 170g/m2, op. 20 szt."
166,"Papier fotograficzny do drukarki atramentowej, matowy, bialy, format A4, gramatura 170g/m2, op.100 szt."
167,"Papier fotograficzny do drukarki atramentowej, matowy, bialy, format A4, gramatura 190g/m2, op. 50 szt."
168,"Papier pakowy, siarczan, N biel., 70g/m2, wym. 105 x 126 cm, prazkowany"
169,"Pianka do czyszczenia powierzchni plastikowych, szklanych i metalowych, o gestej konsystencji ulatwiajacej jej nanoszenie, antystatyczna, swiezy zapach, obj. 300 ml"
170,"Pinezki metalowe, srebrne, op. 100 szt. Wlasna konfekcja (tapicerskie)"
171,"Pinezki metalowe, srebrne, op. 100 szt."
172,"Pinezki do tablic korkowych, beczulki, kolorowe, op. 50 szt."
173,"Plastelina w opakowaniu 10 szt, (rózne kolory)"
174,"Plyn do czyszczenia monitorów, szyb skanerów, komputerów, nie pozostawiajacy smug, posiadajacy wlasciwosci antystatyczne, obj. 250 ml"
175,"Plyta CD -R 700 MB, pakowana pojedynczo, w opakowaniach plastikowych"
176,"Plyta CD -RW 700 MB, pakowana pojedynczo, w opakowaniach plastikowych"
177,"Plyta DVD -R 4,7 GB, pakowana pojedynczo, w opakowaniach plastikowych"
178,"Plyta DVD -RW 4,7 GB, pakowana pojedynczo, w opakowaniach plastikowych"
179,"Plyta DVD +R 4,7 GB, pakowana pojedynczo, w opakowaniach plastikowych"
180,"Plyta DVD +RW 4,7 GB, pakowana pojedynczo, w opakowaniach plastikowych"
181,"Plyta CD -R, szpula 100 sztuk"
182,"Plyta DVD -R, szpula 50 sztuk"
183,"Podkladki do dziurkacza archiwizacyjnego HP 2, wymienne z twardego plastiku, srednica podkladki 30 mm"
184,"Poduszka do stempli, w pudelku z tworzywa o wysokiej jakosci i wytrzymalosci, z zaznaczeniem w kolorze tuszu, rozmiar 110 x 70 mm, kolor czerwony"
185,"Pojemnik na czasopisma, wykonany z wytrzymalego tworzywa, oklejony na zewnatrz i wewnatrz folia PCV, otwór na grzbiecie ulatwiajacy zdejmowanie, dwustronnie wymienna etykieta opisowa, szer. grzbietu 70 mm, format A4"
186,"Powietrze sprezone do czyszczenia trudno dostepnych miejsc, z dysza umozliwiajaca precyzyjne kierowanie powietrza, op. 400 ml*"
187,"Przekladka do segregatora, wykonana z mocnego kartonu, uniwersalna perforacja, o wymiarach 10,5 x 24 cm,wlasna konfekcja op. 10 szt. (rózne kolory)"
188,"Przekladka do segregatora, wykonana z mocnego i trwalego kartonu, /A-Z/, w komplecie ze strona tytulowa na opisy, uniwersalna perforacja pozwala uzywac przekladki w kazdym segregatorze, format A4,"
189,"Przekladka do segregatora, wykonana z mocnego kartonu, uniwersalna perforacja, format A4, op. 10 szt. (rózne kolory)"
190,"Przekladka do segregatora, wykonana z mocnego, elastycznego plastiku, A-Z, uniwersalna perforacja, format A4, op.20 szt. (rózne kolory)"
191,"Przybornik na biurko, obrotowy, mocny i trwaly, wykonany z odpornego na pekniecia, ekologicznego polistyrenu, w kolorze czarnym"
192,"Pudelko archiwizacyjne, wykonane z twardej tektury falistej, na grzbiecie miejsce do opisu, otwór ulatwiajacy wyjmowanie pojemnika, miesci segregator, do przechowywania formatu A4, szerokosc grzbietu 80 mm"
193,"Pudelko archiwizacyjne, wykonane z twardej tektury falistej, na grzbiecie miejsce do opisu, otwór ulatwiajacy wyjmowanie pojemnika, miesci segregator, do przechowywania formatu A4, szerokosc grzbietu 100 mm"
194,"Pudelko archiwizacyjne, wykonane z twardej tektury falistej, na grzbiecie miejsce do opisu, otwór ulatwiajacy wyjmowanie pojemnika, miesci segregator, do przechowywania formatu A4, szerokosc grzbietu 120 mm"
195,"Pudelko na plyty CD/DVD, plastikowe, cake zamykane na 25 szt."
196,"Rewers/sygnatura biblioteczna A6 - B-181 - bloczek 50 szt."
197,"Rolka do kas fiskalnych offsetowa, wymiary 57mm x 30m -pojedyncza"
198,"Rolka kasowa offsetowa 69mm x 30m do maszyny liczacej"
199,"Rolka termiczna do kas fiskalnych, wymiary: 28 mm x 30 m -pojedyncza"
200,"Rolka termiczna do kas fiskalnych, wymiary: 57 mm x 30 m -pojedyncza"
201,"Rozszywacz metalowy z plastikowymi elementami obudowy, do wszystkich rodzajów zszywek, wyposazony w blokade"
202,"Segregator A4, wykonany z twardego i grubego kartonu, pokrytego na zewnatrz ekologiczna folia polipropylenowa o strukturze plótna, szer. grzbietu 35 mm, a wewnatrz biala nablyszczana wklejka papierowa, dwustronna wymienna etykieta opisowa, wyposazony w 2 ringi oraz blokade (rózne kolory)"
203,"Segregator A4, wykonany z twardego i grubego kartonu, pokrytego na zewnatrz ekologiczna folia polipropylenowa o strukturze plótna, szer., grzbietu 50 mm, a wewnatrz biala nablyszczana wklejka papierowa, dwustronna wymienna etykieta opisowa, wyposazony w mechanizm dzwigniowy oraz blokade, dolne krawedzie wzmocnione niklowanym okuciem, otwór na palec na grzbiecie równiez wzmocniony niklowanym okuciem (rózne kolory)"
204,"Segregator A4, wykonany z twardego i grubego kartonu, pokrytego na zewnatrz ekologiczna folia polipropylenowa o strukturze plótna, szer., grzbietu 75 mm, a wewnatrz biala nablyszczana wklejka papierowa, dwustronna wymienna etykieta opisowa, wyposazony w mechanizm dzwigniowy oraz blokade, dolne krawedzie wzmocnione niklowanym okuciem, otwór na palec na grzbiecie równiez wzmocniony niklowanym okuciem (rózne kolory)"
205,"Segregator A5, wykonany z twardego i grubego kartonu, pokrytego na zewnatrz folia polipropylenowa, szer., grzbietu 75 mm, a wewnatrz biala nablyszczana wklejka papierowa, dwustronna wymienna etykieta opisowa, wyposazony w mechanizm dzwigniowy oraz blokade, dolne krawedzie wzmocnione niklowanym okuciem, otwór na palec na grzbiecie równiez wzmocniony niklowanym okuciem (rózne kolory)"
206,"Segregator do akt osobowych, wykonany z kartonu o gramaturze 170 g/m2, grubosci 1,9 mm, podwójny mechanizm ringowy 20 mm, zawiera róznokolorowe przekladki A, B, C"
207,"Skoroszyt A4, wykonany z folii polipropylenowej, przednia okladka przezroczysta, tylna okladka kolorowa wykonana z mocnego i sztywnego tworzywa, ze wzmacnianym grzbietem, na grzbiecie wymienny pasek do opisu, dwa wyciecia ulatwiajace wsuwanie paska, format A4, zaokraglone rogi, metalowe wasy i listewka dociskowa z tworzywa, (rózne kolory)"
208,"Skoroszyt A4 do segregatora, wykonany z folii polipropylenowej, przednia okladka przezroczysta, tylna okladka kolorowa wykonana z mocnego i sztywnego tworzywa, ze wzmacnianym grzbietem, standardowa perforacja do wpiecia do segregatora, na grzbiecie wymienny pasek do opisu, dwa wyciecia ulatwiajace wsuwanie paska, format A4, zaokraglone rogi, metalowe wasy i listewka dociskowa z tworzywa, (rózne kolory)"
209,"Skorowidz 2/3 A4 w twardych okladkach, 96 kartkowy w kratke, szyty, indeks alfabetyczny"
210,"Skorowidz A4 w twardych okladkach, 96 kartkowy w kratke, szyty, indeks alfabetyczny"
211,"Skorowidz A5 w twardych okladkach, 96 kartkowy w kratke, szyty, indeks alfabetyczny"
212,"Spinacze kolorowe, owalne, 28 mm, op.100 szt."
213,"Spinacze metalowe, niklowane, krzyzowe, 40 mm, op. 50 szt."
214,"Spinacze metalowe, niklowane, krzyzowe, 65 mm, op. 12 szt."
215,"Spinacze metalowe, niklowane, owalne, 28 mm, op.100 szt."
216,"Spinacze metalowe, niklowane, owalne, 50 mm, op. 100 szt."
217,"Spray do szybkiego czyszczenia tablic suchoscieralnych, w atomizerze, nie zawierajacy alkoholu, antystatyczny, poj. 250"
218,"Sznurek, szpagat jutowy, 1 szt. - 0,25 kg"
219,"Szpilki uniwersalne, srebrne, niklowane o dlugosci 28 mm, op. 50 g"
220,"Szuflada na biurko przydymione, mocna i stabilna, wykonana z wytrzymalego, odpornego na pekniecia polistyrenu, przeznaczone na dokumenty w formacie A4, z przodu miejsce do naklejenia etykiet, specjalnie profilowany przód zabezpieczajacy dokumenty przed wypadnieciem, 4 podkladki stabilizujace, zabezpieczajace przed slizganiem, kompatybilne - mozliwosc laczenia kilku w pionie oraz kaskadowo,"
221,"Tablica szkolna biala suchoscieralna o wymiarach 170cm x 100cm do pisania markerami, listwy boczne i pólki z aluminium, posiada elementy do mocowania na scianie, powierzchnia wykonana z blachy pokrytej specjalnymi farbami tablicowymi"
222,"Tablica korkowa, o wymiarach 90 x 120 cm, drewniana rama, zszywana na rogach, szerokosc ramy 16 mm*, w komplecie elementy mocujace"
223,"Tablica korkowa, o wymiarach 60 x 90 cm, drewniana rama, zszywana na rogach, szerokosc ramy 16 mm*, w komplecie elementy mocujace"
224,"Tablica korkowa, o wymiarach 100 x 150 cm, drewniana rama, zszywana na rogach, szerokosc ramy 16 mm*, w komplecie elementy mocujace"
225,"Tablica szkolna do pisania kreda o wymiarze 170cmx100cm, pojedyncza, zielona, magnetyczna, listwy boczne i pólka z aluminium, elementy do mocowania na scianie, przystosowana do zawieszenia w pionie i w poziomie."
226,"Tablica suchoscieralna, powierzchnia magnetyczna, o wymiarach 90 x 60 cm, odporna na zadrapania, powstawanie smug i zabrudzen, gladka, zestaw do montazu w komplecie, aluminiowa rama, wykonana z anodowanego aluminium, wyposazona w dolna pólke na markery oraz zestaw markerów i gabke, 10-letnia gwarancja na powierzchnie suchoscieralna"
227,"Tablica suchoscieralna, powierzchnia magnetyczna, o wymiarach 120 x 90 cm, odporna na zadrapania, powstawanie smug i zabrudzen, gladka, zestaw do montazu w komplecie, aluminiowa rama, wykonana z anodowanego aluminium, wyposazona w dolna pólke na markery oraz zestaw markerów i gabke, 10-letnia gwarancja na powierzchnie suchoscieralna."
228,"Tasma barwiaca czerwono-czarna, nylonowa o wymiarach 13 mm x 6mb do drukarek liczacych"
229,"Tasma biurowa, samoprzylepna, o wysokiej przezroczystosci, uniwersalna, wykonana z odpornego na zólkniecie polipropylenu, bardzo dobra przyczepnosc do wiekszosci powierzchni, nie brudzi, o wymiarach 19 mm x 33 m"
230,"Tasma dwustronna, pokryta obustronnie emulsyjnym klejem, dwustronna wzmacniana tasma tkaninowa, bardzo mocny klej, brazowa, o wymiarach 50 mm x 10 m"
231,"Tasma pakowa, przezroczysta, klej o podlozu akrylowym, grubosc folii PP 28 mic, o wymiarach 48 mm x 50m"
232,"Tasma pakowa, brazowa, klej kauczukowy, o wymiarach 48 mm x 50 m"
233,"Tasma pakowa, biala, klej kauczukowy, o wymiarach 50 mm x 66 m"
234,"Tasma papierowa, maskujaca samoprzylepna, jednostronnie klejaca, o wymiarach 48 mm x 40 m, w kolorze zóltym"
235,"Tasma samoprzylepna z gilotynka, o wysokiej przezroczystosci, uniwersalna, wykonana z odpornego na zólkniecie polipropylenu, z podajnikiem, bardzo dobra przyczepnosc do wiekszosci powierzchni, nie brudzi, mozna po niej pisac, o wymiarach 19 mm x 33 m"
236,"Tasma samoprzylepna z gilotynka, mleczna, wykonana z odpornego na zólkniecie polipropylenu, z podajnikiem, bardzo dobra przyczepnosc do wiekszosci powierzchni, nie brudzi, mozna po niej pisac, o wymiarach 19 mm x 33 m"
237,"Teczka do podpisu, okladka z kartonu  powlekanego sztuczna skóra, wymienna etykietka  na nazwisko, grzbiet teczki harmonijkowy, strony wewnetrzne z usztywnionego kartonu o wzmocnionej dolnej krawedzi, ilosc kartek 20, rózne kolory:  czarny, czerwony, granatowy, zielony"
238,"Teczka na akta osobowe, wykonana z bialej tektury posiadaja wklad A, B, C, D, miejsce na opis, sztywny grzbiet, oklejana, format A4, szerokosc 2,5 cm, gramatura . 350 g/m2"
239,"Teczka na akta osobowe, wpinana, wykonana z bialej tektury posiadaja wklad A, B, C, D, miejsce na opis, teczka oczkowa -wpinana do segregatora, sztywny grzbiet, oklejana, format A4, szerokosc 2,5 cm, gramatura 350 g/m2"
240,"Teczka z gumka, marmurkowa, wykonana z preszpanu, barwiona dwustronnie, narozne plaskie gumki zamykajace w kolorze teczki, posiadajaca 3 wewnetrzne skrzydla zabezpieczajace dokumenty przed wypadnieciem, format A-4, gramatura 390 g/m2, ( 7 róznych kolorów)"
241,"Teczka wykonana z utwardzonego kartonu o grubosci 2 mm, pokryta folia polipropylenowa 100 mic, zamykana na 2 rzepy, posiadajaca 4 boczne skrzydla, format A4 ( 5 róznych kolorów)"
242,"Teczka wykonana z utwardzonego kartonu o grubosci 2 mm, pokryta folia polipropylenowa 100 mic, zamykana na gumke, posiadajaca 4 boczne skrzydla, format A4 ( 5 róznych kolorów)"
243,"Teczka wiazana biala kartonowa, wyposazona w tasiemki, posiadajaca trzy wewnetrzne klapki zabezpieczajace dokumenty przed wypadnieciem, z przodu miejsce na opis, posiadajaca 3 wewnetrzne skrzydla zabezpieczajace dokumenty przed wypadnieciem, format A4, gramatura 250 g/m2"
244,"Teczka z gumka, wykonana z grubego kartonu jednostronnie lakierowanego, okragla gumka zamykajaca wzdluz dlugiego boku w kolorze teczki, gramatura 400 g/m2, posiadajaca 3 wewnetrzne skrzydla zabezpieczajace dokumenty przed wypadnieciem, podwójna perforacja do zwiekszenia grzbietu o 1 cm lub 2 cm. jednolity kolor, (7 róznych kolorów)"
245,"Teczka z raczka do formatu A4, z plastikowa raczka z mozliwoscia skladania, wykonana z utwardzonego kartonu o grubosci 2 mm, pokryta folia polipropylenowa 100 mic, posiadajaca mechanizm zamykajacy zabezpieczajacy zawartosc przed wysypaniem, 4 róznych kolorach)"
246,"Tektura grubosc 2 mm, format B1,"
247,"Tektura grubosc 2,50 mm, format B1,"
248,"Tektura grubosc 3,00 mm, format B1,"
249,"Tektura makulaturowa gramatura 500 g/m², format B1"
250,"Tektura makulaturowa 700g/m2 B1"
251,"Tektura do konserwacji muzealnej bezkwasowa, 1240 g/m², format B1,"
252,"Tektura do konserwacji muzealnej bezkwasowa, gr.2,5mm finska, format B1"
253,"Tektura do konserwacji muzealnej bezkwasowa, gr. 3mm, finska, r format B1"
254,"Tektura do konserwacji muzealnej bezkwasowa, 2,5mm, format B1"
255,"Tektura falista tektura falista dwuwarstwowa, wymiar 1 m x 70m, gramatura 200g/m2"
256,"Tektura Grafopak gramatura, grubosc 0,6 mm, format B1,"
257,"Temperówka metalowa (pojedyncza) srebrna, wykonana z aluminium z mozliwoscia regeneracji ostrza, ze stalowym ostrzem mocowanym wkretem, posiada pojedyncze ostrze,"
258,"Termookladki 35 mm (oprawa do 360 kartek), przód wykonany z krystalicznie przejrzystej folii 150µm z kartonu chromolux, karton 250 g/m², format A4, , op. 30 szt.,"
259,"Termookladki 18 mm (oprawa do 180 kartek), przód wykonany z krystalicznie przejrzystej folii 150µm, tyl okladki skóropodobny format A4, op. 50 szt.,"
260,"Termookladki 3 mm (oprawa 20 kartek), przód wykonany z krystalicznie przejrzystej folii 150 µm, tyl okladki skóropodobny format A4,, op. 100 szt."
261,"Tusz do stempli gumowych i polimerowych, bezolejowy, wodny, szybkoschnacy, pojemnik z aplikatorem ulatwiajacym nasaczanie, poj. 30Ml, w róznych kolorach: czerwony, czarny"
262,"Tusz do stempli z metalowa plytka stemplujaca, poj. 25 ml, w kolorze czarnym"
263,"Wklad do dlugopisu wklad metalowy do dlugopisów Zenith, kolory: czarny, niebieski,"
264,"Wklad do olówka automatycznego, wysoka trwalosc, odporne na zlamania, elastyczne, o grubosci 0,5 mm, rózne twardosci rysika, op. 12 szt."
265,"Wklad do segregatora, w kratke, format A4, op. 50 kartek, opakowanie foliowe, w kolorach: bialy i kolorowy"
266,"Wskaznik laserowy, laser czerwony o zasiegu 100 m, plastikowa obudowa"
267,"Zakladki indeksujace plastikowe z mozliwoscia zapisu, mozliwosc wielokrotnego przyklejenia, pastelowe i fluorescencyjne kolory, ilosc fiszek 5 kolorów x 25 szt., rozmiar: 12 x 45 mm, opakowanie foliowe"
268,"Zakladki indeksujace papierowe z mozliwoscia zapisu, mozliwosc wielokrotnego przyklejenia, pastelowe kolory, ilosc fiszek 4 kolory x 50 szt., rozmiar: 20 x 50 mm, opakowanie foliowe"
269,"Zakladki indeksujace, z mozliwoscia zapisu, mozliwosc wielokrotnego przyklejenia, pastelowe kolory, rozmiar: 12 x 45 mm, opakowanie: 4 bloczki po 35 zakladek w kazdym bloczku, perforacja umozliwiajaca odrywanie, opakowanie foliowe,"
270,"Zakreslacz fluorescencyjny, trwaly, nietoksyczny, bezwonny tusz na bazie wody, scieta koncówka, do pisania po wszystkich rodzajach papieru w tym samokopiujacym i faksowym, duza odpornosc na wysychanie tuszu, skuwka wraz z klipsem, grubosc linii 2- 5 mm, w róznych kolorach: zólty, pomaranczowy, zielony, fioletowy, rózowy, niebieski"
271,"Zeszyt w kratke, format A5, szyty, przód i tyl okladki wykonany z laminowanego kartonu, bigowanie ulatwiajace odginanie okladki, ilosc kartek 32"
272,"Zeszyt w kratke, format A5, szyty, przód i tyl okladki wykonany z laminowanego kartonu, bigowanie ulatwiajace odginanie okladki, ilosc kartek 60"
273,"Zszywacz metalowy mechanizm, plastikowe ramie i podstawa o wysokiej wytrzymalosci, metalowy element podajacy zszywki, antyposlizgowy spód, zszywa do 25 kartek, glebokosc wsuniecia kartki 96 mm"
274,"Zszywacz metalowy mechanizm, plastikowe ramie i podstawa o wysokiej wytrzymalosci, metalowy element podajacy zszywki, antyposlizgowy spód, zszywa do 45 kartek, glebokosc wsuniecia kartki 70 mm"
275,"Zszywacz metalowy mechanizm, plastykowe ramie i podstawa o wysokiej wytrzymalosci, metalowy element podajacy zszywki, antyposlizgowy spód, zszywa od 2 do 130 kartek, glebokosc wsuniecia kartki 70 mm"
276,"Zszywki metalowe, rozmiar: 10/A, zapakowane w kartonowe pudelko, op. 1000 szt."
277,"Zszywki metalowe, rozmiar: 23/8 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
278,"Zszywki metalowe, rozmiar: 23/10 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
279,"Zszywki metalowe, rozmiar: 23/13 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
280,"Zszywki metalowe, rozmiar: 23/17 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
281,"Zszywki metalowe, rozmiar: 24/6 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
282,"Zszywki metalowe, rozmiar: 26/6 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
283,"Zszywki metalowe, rozmiar: 26/8 cm, zapakowane w kartonowe pudelko, op. 1000 szt."
284,"Zszywki metalowe, rozmiar: 6 mm, zapakowane w kartonowe pudelko, op. 1000 szt."
285,"Zszywki do urzadzenia Canon NP6050, opakowanie liczace trzy magazynki po 5000 zszywek w magazynku do finiszera F1"
286,"Zszywki do urzadzenia Sharp MX-M350U, opakowanie liczace trzy magazynki po 5000 zszywek w magazynku do finiszera Sharp AR-FN7"
287,"Arkusz spisu z natury, uniwersalny, format A4, pionowy, samokopiujacy, w bloczku 50 arkuszy"
